,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
0,Haikyuu Second Season,Following their participation at the Inter High the Karasuno High School volleyball team attempts to refocus their efforts aiming to conquer the Spring tournament instead.       When they receive an invitation from long standing rival Nekoma High Karasuno agrees to take part in a large training camp alongside many notable volleyball teams in Tokyo and even some national level players. By playing with some of the toughest teams in Japan they hope not only to sharpen their skills but also come up with new attacks that would strengthen them. Moreover Hinata and Kageyama attempt to devise a more powerful weapon one that could possibly break the sturdiest of blocks.       Facing what may be their last chance at victory before the senior players graduate the members of Karasuno s volleyball team must learn to settle their differences and train harder than ever if they hope to overcome formidable opponents old and new including their archrival Aoba Jousai and its world class setter Tooru Oikawa.       Written by MAL Rewrite ,Comedy,Oct 4 2015 to Mar 27 2016,25.0,489888,141,25.0,8.82,cdn.myanimelist.net.images.anime.9.76662.jpg,myanimelist.net.anime.28891.Haikyuu Second Season
1,Shigatsu wa Kimi no Uso,Music accompanies the path of the human metronome the prodigious pianist Kousei Arima. But after the passing of his mother Saki Arima Kousei falls into a downward spiral rendering him unable to hear the sound of his own piano.       Two years later Kousei still avoids the piano leaving behind his admirers and rivals and lives a colorless life alongside his friends Tsubaki Sawabe and Ryouta Watari. However everything changes when he meets a beautiful violinist Kaori Miyazono who stirs up his world and sets him on a journey to face music again.      Based on the manga series of the same name  Shigatsu wa Kimi no Uso  approaches the story of Kousei s recovery as he discovers that music is more than playing each note perfectly and a single melody can bring in the fresh spring air of April.       Written by MAL Rewrite ,Drama,Oct 10 2014 to Mar 20 2015,22.0,995473,28,24.0,8.83,cdn.myanimelist.net.images.anime.3.67177.jpg,myanimelist.net.anime.23273.Shigatsu wa Kimi no Uso
2,Made in Abyss,The Abyss a gaping chasm stretching down into the depths of the earth filled with mysterious creatures and relics from a time long past. How did it come to be What lies at the bottom Countless brave individuals known as Divers have sought to solve these mysteries of the Abyss fearlessly descending into its darkest realms. The best and bravest of the Divers the White Whistles are hailed as legends by those who remain on the surface.      Riko daughter of the missing White Whistle Lyza the Annihilator aspires to become like her mother and explore the furthest reaches of the Abyss. However just a novice Red Whistle herself she is only permitted to roam its most upper layer. Even so Riko has a chance encounter with a mysterious robot with the appearance of an ordinary young boy. She comes to name him Reg and he has no recollection of the events preceding his discovery. Certain that the technology to create Reg must come from deep within the Abyss the two decide to venture forth into the chasm to recover his memories and see the bottom of the great pit with their own eyes. However they know not of the harsh reality that is the true existence of the Abyss.       Written by MAL Rewrite ,Sci Fi,Jul 7 2017 to Sep 29 2017,13.0,581663,98,23.0,8.83,cdn.myanimelist.net.images.anime.6.86733.jpg,myanimelist.net.anime.34599.Made in Abyss
3,Fullmetal Alchemist Brotherhood, In order for something to be obtained something of equal value must be lost.       Alchemy is bound by this Law of Equivalent Exchange something the young brothers Edward and Alphonse Elric only realize after attempting human transmutation the one forbidden act of alchemy. They pay a terrible price for their transgression Edward loses his left leg Alphonse his physical body. It is only by the desperate sacrifice of Edward s right arm that he is able to affix Alphonse s soul to a suit of armor. Devastated and alone it is the hope that they would both eventually return to their original bodies that gives Edward the inspiration to obtain metal limbs called  automail  and become a state alchemist the Fullmetal Alchemist.      Three years of searching later the brothers seek the Philosopher s Stone a mythical relic that allows an alchemist to overcome the Law of Equivalent Exchange. Even with military allies Colonel Roy Mustang Lieutenant Riza Hawkeye and Lieutenant Colonel Maes Hughes on their side the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive Philosopher s Stone but their country s murky history as well. In between finding a serial killer and racing against time Edward and Alphonse must ask themselves if what they are doing will make them human again... or take away their humanity.       Written by MAL Rewrite ,Action,Apr 5 2009 to Jul 4 2010,64.0,1615084,4,1.0,9.23,cdn.myanimelist.net.images.anime.1223.96541.jpg,myanimelist.net.anime.5114.Fullmetal Alchemist  Brotherhood
4,Kizumonogatari III Reiketsu hen,After helping revive the legendary vampire Kiss shot Acerola orion Heart under blade Koyomi Araragi has become a vampire himself and her servant. Kiss shot is certain she can turn him back into a human but only once regaining her full power.       Araragi has hunted down the three vampire hunters that defeated Kiss shot and retrieved her limbs to return her to full strength. However now that Araragi has almost accomplished what he s been fighting for this whole time he has to consider if this is what he really wants. Once he revives this powerful immortal vampire there is no telling what she might do and there would be no way of stopping her.      But there is more to the story that Araragi doesn t understand. If a newborn vampire like him could defeat the hunters how did they overpower Kiss shot Can he trust her to turn him back to a human And how is that even possible in the first place      Araragi is at his limit but he must come to a decision and it may not be possible to resolve this situation without doing something he ll regret…       Written by MAL Rewrite ,Action,Jan 6 2017,1.0,214621,502,22.0,8.83,cdn.myanimelist.net.images.anime.3.81576.jpg,myanimelist.net.anime.31758.Kizumonogatari III  Reiketsu hen
5,Mob Psycho 100 II,Shigeo  Mob  Kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others. He and his mentor Reigen Arataka continue to deal with supernatural requests from clients whether it be exorcizing evil spirits or tackling urban legends that haunt the citizens.      While the workflow remains the same Mob isn t just blindly following Reigen around anymore. With all his experiences as a ridiculously strong psychic Mob s supernatural adventures now have more weight to them. Things take on a serious and darker tone as the dangers Mob and Reigen face are much more tangible and unsettling than ever before.       Written by MAL Rewrite ,Action,Jan 7 2019 to Apr 1 2019,13.0,442310,176,21.0,8.89,cdn.myanimelist.net.images.anime.1918.96303.jpg,myanimelist.net.anime.37510.Mob Psycho 100 II
6,Sen to Chihiro no Kamikakushi,Stubborn spoiled and naïve 10 year old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside she realizes that there is more to this place than meets the eye as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start Chihiro has unwittingly crossed over into the spirit world. Now trapped she must summon the courage to live and work amongst spirits with the help of the enigmatic Haku and the cast of unique characters she meets along the way.      Vivid and intriguing  Sen to Chihiro no Kamikakushi  tells the story of Chihiro s journey through an unfamiliar world as she strives to save her parents and return home.       Written by MAL Rewrite ,Adventure,Jul 20 2001,1.0,913212,40,20.0,8.9,cdn.myanimelist.net.images.anime.6.79597.jpg,myanimelist.net.anime.199.Sen to Chihiro no Kamikakushi
7,Kimetsu no Yaiba,Ever since the death of his father the burden of supporting the family has fallen upon Tanjirou Kamado s shoulders. Though living impoverished on a remote mountain the Kamado family are able to enjoy a relatively peaceful and happy life. One day Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back night falls forcing Tanjirou to take shelter in the house of a strange man who warns him of the existence of flesh eating demons that lurk in the woods at night.      When he finally arrives back home the next day he is met with a horrifying sight his whole family has been slaughtered. Worse still the sole survivor is his sister Nezuko who has been turned into a bloodthirsty demon. Consumed by rage and hatred Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister s humanity.       Written by MAL Rewrite ,Action,Apr 6 2019 to Sep 28 2019,26.0,575037,106,19.0,8.92,cdn.myanimelist.net.images.anime.1286.99889.jpg,myanimelist.net.anime.38000.Kimetsu no Yaiba
8,Owarimonogatari 2nd Season,Following an encounter with oddity specialist Izuko Gaen third year high school student Koyomi Araragi wakes up in a strange deserted void only to be greeted by a joyfully familiar face in an alarmingly unfamiliar place.        Araragi with the help of his girlfriend Hitagi Senjougahara maneuvers through the webs of his past and the perplexities of the present in search of answers. However fate once again delivers him to the eccentric transfer student Ougi Oshino who brings forth an unexpected proposal that may unearth the very foundation to which he is anchored. As Araragi peels back the layers of mystery surrounding an apparition he discovers a truth not meant to be revealed.       Written by MAL Rewrite ,Mystery,Aug 12 2017 to Aug 13 2017,7.0,189944,573,18.0,8.93,cdn.myanimelist.net.images.anime.6.87322.jpg,myanimelist.net.anime.35247.Owarimonogatari 2nd Season
9,Code Geass Hangyaku no Lelouch R2,One year has passed since the Black Rebellion a failed uprising against the Holy Britannian Empire led by the masked vigilante Zero who is now missing. At a loss without their revolutionary leader Area 11 s resistance group the Black Knights find themselves too powerless to combat the brutality inflicted upon the Elevens by Britannia which has increased significantly in order to crush any hope of a future revolt.       Lelouch Lamperouge having lost all memory of his double life is living peacefully alongside his friends as a high school student at Ashford Academy. His former partner C.C. unable to accept this turn of events takes it upon herself to remind him of his past purpose hoping that the mastermind Zero will rise once again to finish what he started in this thrilling conclusion to the series.       Written by MAL Rewrite    ,Action,Apr 6 2008 to Sep 28 2008,25.0,992196,27,17.0,8.93,cdn.myanimelist.net.images.anime.4.9391.jpg,myanimelist.net.anime.2904.Code Geass  Hangyaku no Lelouch R2
